实验,起终点编号,模型,模型代码,邻域数,起点_row,起点_col,终点_row,终点_col,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以D,路径节点数,是否找到路径
邻域敏感性,1,B0 标量坡度模型,B0,4,100,100,900,900,36950.41055710836,63303.061413384545,0.5837065338090538,1.9427758813101064,2199,True
邻域敏感性,1,B1 仅纵坡方向模型,B1,4,100,100,900,900,10298.985604517147,62842.256598728396,0.16388631093055855,1.9286337456863742,2183,True
邻域敏感性,1,Ours 纵坡+横坡方向模型,Ours,4,100,100,900,900,30507.640708298317,63303.061413384545,0.4819299418882118,1.9427758813101064,2199,True
邻域敏感性,1,B0 标量坡度模型,B0,8,100,100,900,900,26213.37646926956,56674.43731768884,0.4625255707847675,1.7393428919434062,1717,True
邻域敏感性,1,B1 仅纵坡方向模型,B1,8,100,100,900,900,5432.6596398564025,64358.67968108788,0.08441222950465245,1.9751728880989563,1966,True
邻域敏感性,1,Ours 纵坡+横坡方向模型,Ours,8,100,100,900,900,20801.888905339347,56771.07209227267,0.3664170525356482,1.7423086206959435,1710,True
邻域敏感性,1,B0 标量坡度模型,B0,16,100,100,900,900,24359.0043364938,55315.69240573757,0.44036336303669193,1.6976429048518875,1385,True
邻域敏感性,1,B1 仅纵坡方向模型,B1,16,100,100,900,900,3162.0354695625215,64445.94702796545,0.04906492363577804,1.9778511297661723,1481,True
邻域敏感性,1,Ours 纵坡+横坡方向模型,Ours,16,100,100,900,900,19207.186987320278,55493.3449440275,0.34611694441366453,1.7030950750777374,1387,True
邻域敏感性,1,B0 标量坡度模型,B0,32,100,100,900,900,23570.727310668677,54622.97294278706,0.4315167417811004,1.6763832906233442,1144,True
邻域敏感性,1,B1 仅纵坡方向模型,B1,32,100,100,900,900,2326.693806783655,71075.76591766023,0.032735402520728096,2.1813207874536884,1291,True
邻域敏感性,1,Ours 纵坡+横坡方向模型,Ours,32,100,100,900,900,18502.201905948117,55059.984278631964,0.3360371810554362,1.6897952025306422,1174,True
